Group 1,,Group 2,,Group 3,
"Frankie (I, VA)",Powerless,"Vincent (D, NY)",Important,"Borg (R, PA)",Radical
"Dale (R, TN)",Indecisive,"Malcolm (D, AZ)",Intellectual,"Debra (R, NJ)",Skewed
"Raquel (I, CA)",Outdated,"Sarah (D, IL)",Corrupt,"Andrea (R, NC)",Political
"Evan (I, CA)",Finality,"Jeremy (N/A, TX)",Necessary,"Scott (R, TX)",Confused
"Farwa (I, TX)",Old,"Pam (D, KS)",Unelected,"Domenic (R, MA)",Powerful
"Hong (D, VA)",Biased,"Andrew (D, NY)",Justice,"Casey (R, NC)",Authoritative
,,"Holly (D, FL)",Important,"Anthony (R, FL)",Crazy
,,,,"Penny (R, FL)",I couldn't think of a word.
